Cadmium blue,0.04,0.07,0.57
Cadmium green,0,0.42,0.24
Cadmium orange,0.93,0.53,0.18
Cadmium purple,0.71,0.05,0.15
Cadmium red,0.89,0,0.13
Cadmium yellow,1,0.96,0
Cadmium violet,0.5,0.24,0.6
Café au lait,0.65,0.48,0.36
Café noir,0.29,0.21,0.13
Cal Poly Pomona green,0.12,0.3,0.17
Calamansi,0.99,1,0.64
Cambridge blue,0.64,0.76,0.68
Camel,0.76,0.6,0.42
Cameo pink,0.94,0.73,0.8
Camouflage green,0.47,0.53,0.42
Canary,1,1,0.6
Canary yellow,1,0.94,0
Candy apple red,1,0.03,0
Candy pink,0.89,0.44,0.48
Capri,0,0.75,1
Caput mortuum,0.35,0.15,0.13
Caramel,1,0.84,0.6
Cardinal,0.77,0.12,0.23
Caribbean green,0,0.8,0.6
Caribbean blue,0.1,0.76,0.87
Carmine,0.59,0,0.09
Carmine (M&P),0.84,0,0.25
Carmine pink,0.92,0.3,0.26
Carmine red,1,0,0.22
Carnation pink,1,0.65,0.79
Carnelian,0.7,0.11,0.11
Carolina blue,0.34,0.63,0.83
Carrot orange,0.93,0.57,0.13
Castleton green,0,0.34,0.25
Catalina blue,0.02,0.16,0.47
Catawba,0.44,0.21,0.26
Cedar Chest,0.79,0.35,0.29
Ceil,0.57,0.63,0.81
Celadon,0.67,0.88,0.69
Celadon blue,0,0.48,0.65
Celadon green,0.18,0.52,0.49
Celeste,0.7,1,1
Celestial blue,0.29,0.59,0.82
Celtic blue,0.14,0.42,0.81
Cerise,0.87,0.19,0.39
Cerise pink,0.93,0.23,0.51
Cerulean,0,0.48,0.65
Cerulean blue,0.16,0.32,0.75
Cetacean blue,0,0.08,0.25
Cerulean frost,0.43,0.61,0.76
Cerulean (Crayola),0.11,0.67,0.84
CG blue,0,0.48,0.65
CG red,0.88,0.24,0.19
Chamoisee,0.63,0.47,0.35
Champagne,0.97,0.91,0.81
Champagne pink,0.95,0.87,0.81
Charcoal,0.21,0.27,0.31
Charleston green,0.14,0.17,0.17
Charm,0.82,0.45,0.55
Charm pink,0.9,0.56,0.67
Chartreuse (traditional),0.87,1,0
Chartreuse (web),0.5,1,0
Cheese,1,0.65,0
Cherry,0.87,0.19,0.39
Cherry blossom pink,1,0.72,0.77
Chestnut,0.58,0.27,0.21
Chickadee,1,0.76,0.3
China pink,0.87,0.44,0.63
China rose,0.66,0.32,0.43
Chinese black,0.08,0.08,0.08
Chinese blue,0.21,0.32,0.58
Chinese bronze,0.8,0.5,0.2
Chinese brown,0.67,0.22,0.12
Chinese green,0.82,0.86,0.38
Chinese gold,0.8,0.6,0
Chinese orange,0.95,0.44,0.26
Chinese pink,0.87,0.44,0.63
Chinese purple,0.45,0.04,0.6
Chinese red,0.8,0.03,0.12
Chinese red,0.67,0.22,0.12
Chinese silver,0.8,0.8,0.8
Chinese violet,0.52,0.38,0.53
Chinese white,0.89,0.9,0.87
Chinese yellow,1,0.7,0
Chlorophyll green,0.29,1,0
Chocolate brown,0.25,0,0.06
Chocolate cosmos,0.35,0.07,0.1
Chocolate Kisses,0.24,0.08,0.13
Chocolate (traditional),0.48,0.25,0
Chocolate (web),0.82,0.41,0.12
Chrome aluminum,0.66,0.66,0.68
Chrome yellow,1,0.65,0
Cinereous,0.6,0.51,0.48
Cinnabar,0.89,0.26,0.2
Cinnamon[*citation needed*],0.82,0.41,0.12
Cinnamon Satin,0.8,0.38,0.49
Citrine,0.89,0.82,0.04
Citrine Brown,0.58,0.22,0.04
Citron,0.62,0.66,0.12
Claret,0.5,0.09,0.2
Classic rose,0.98,0.8,0.91
Cobalt blue,0,0.28,0.67
Cocoa brown,0.82,0.41,0.12
Coconut,0.59,0.35,0.24
Coconut White,0.91,0.93,0.96
Coffee,0.44,0.31,0.22
Cola,0.24,0.19,0.14
Columbia Blue,0.77,0.85,0.89
Conditioner,1,1,0.8
Congo pink,0.97,0.51,0.47
Cool black,0,0.18,0.39
Cool grey,0.55,0.57,0.67
Cookies and cream,0.93,0.88,0.69
Copper,0.72,0.45,0.2
Copper (Crayola),0.85,0.54,0.4
Copper penny,0.68,0.44,0.41
Copper red,0.8,0.43,0.32
Copper rose,0.6,0.4,0.4
Coquelicot,1,0.22,0
Coral,1,0.5,0.31
Coral pink,0.97,0.51,0.47
Coral red,1,0.25,0.25
Coral reef,0.99,0.49,0.43
Coral Reef (Valspar Paint Color),0.96,0.64,0.58
Cordovan,0.54,0.25,0.27
Corn,0.98,0.93,0.36
Cornell red,0.7,0.11,0.11
Cornflower blue,0.39,0.58,0.93
Cornflower,0,0.62,0.87
Cornsilk,1,0.97,0.86
Cosmic cobalt,0.18,0.18,0.53
Cosmic latte,1,0.97,0.91
